"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Specie"
"forward_CO1_131"	"Eukaryota"	"Arthropoda"	"Hexanauplia"	"Calanoida"	"Clausocalanidae"	"Clausocalanus"	"Clausocalanus parapergens"
"forward_CO1_132"	"Eukaryota"	"Arthropoda"	"Hexanauplia"	"Calanoida"	"Temoridae"	"Eurytemora"	"Eurytemora affinis"
"forward_CO1_133"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_134"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_135"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_136"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_137"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_138"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_139"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_140"	"Eukaryota"	"Arthropoda"	"Hexanauplia"	"Calanoida"	"Paracalanidae"	"Paracalanus"	"Paracalanus sp. D AC-2013"
"forward_CO1_141"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_142"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_143"	"Eukaryota"	"Annelida"	"Polychaeta"	"Terebellida"	"Terebellidae"	"Thelepus"	"Thelepus australiensis"
"forward_CO1_144"	"Eukaryota"	"Arthropoda"	"Hexanauplia"	"Calanoida"	"Paracalanidae"	"Paracalanus"	"Paracalanus sp. D AC-2013"
"forward_CO1_145"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_146"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
